year,sector,rank,ticker,name,market_cap_bn_cny
2021,robotics,1,300124.SZ,汇川技术,1604.50196952
2021,robotics,2,002747.SZ,埃斯顿,250.56681307000002
2021,robotics,3,300024.SZ,机器人,191.90947289
2021,memory,1,603986.SH,兆易创新,931.46267523
2021,memory,2,300223.SZ,北京君正,429.06741686000004
2021,memory,3,000021.SZ,深科技,279.68640491
2021,biotech,1,600276.SH,恒瑞医药,5942.7318139
2021,biotech,2,603259.SH,药明康德,3289.43779085
2021,biotech,3,600196.SH,复星医药,1383.70892445
2021,cyber,1,300454.SZ,深信服,1014.3973078700001
2021,cyber,2,688561.SH,奇安信,856.995776
2021,cyber,3,002439.SZ,启明星辰,272.69981104
2021,cpo,1,300308.SZ,中际旭创,362.71578817
2021,cpo,2,002281.SZ,光迅科技,202.65619698999998
2021,cpo,3,300502.SZ,新易盛,200.95103774
2021,grid,1,600406.SH,国电南瑞,1227.9951188999999
2021,grid,2,600089.SH,特变电工,377.00274808
2021,grid,3,000400.SZ,许继电气,145.80412888
2021,space,1,600118.SH,中国卫星,380.52500364
2021,space,2,600879.SH,航天电子,203.40149204
2021,space,3,300762.SZ,上海瀚讯,92.7483835
2021,nuclear,1,003816.SZ,中国广核,1424.06083302
2021,nuclear,2,601985.SH,中国核电,765.8207750199999
2021,nuclear,3,601611.SH,中国核建,192.95380839
2021,defense,1,600893.SH,航发动力,1582.03018025
2021,defense,2,600760.SH,中航沈飞,1094.82434301
2021,defense,3,000768.SZ,中航西飞,1015.53901204
2022,robotics,1,300124.SZ,汇川技术,1807.59742974
2022,robotics,2,002747.SZ,埃斯顿,225.41165779
2022,robotics,3,002472.SZ,双环传动,214.48735018000002
2022,memory,1,603986.SH,兆易创新,1173.68534785
2022,memory,2,300223.SZ,北京君正,645.30368074
2022,memory,3,000021.SZ,深科技,247.19707394
2022,biotech,1,603259.SH,药明康德,3504.8687647399997
2022,biotech,2,600276.SH,恒瑞医药,3243.41764159
2022,biotech,3,688235.SH,百济神州,1922.8393633699998
2022,cyber,1,300454.SZ,深信服,794.01230368
2022,cyber,2,688561.SH,奇安信,599.68660342
2022,cyber,3,002439.SZ,启明星辰,266.35144159
2022,cpo,1,300308.SZ,中际旭创,340.04091943000003
2022,cpo,2,300502.SZ,新易盛,198.67638060000002
2022,cpo,3,002281.SZ,光迅科技,162.892337
2022,grid,1,600406.SH,国电南瑞,2219.8383862700002
2022,grid,2,600089.SH,特变电工,801.51820664
2022,grid,3,000400.SZ,许继电气,263.17342765
2022,space,1,600118.SH,中国卫星,321.04580015
2022,space,2,600879.SH,航天电子,224.06795380000003
2022,space,3,300762.SZ,上海瀚讯,107.47268123
2022,nuclear,1,003816.SZ,中国广核,1580.60652743
2022,nuclear,2,601985.SH,中国核电,1453.89215012
2022,nuclear,3,601611.SH,中国核建,264.06406587
2022,defense,1,600893.SH,航发动力,1691.5861034299999
2022,defense,2,600760.SH,中航沈飞,1333.95481732
2022,defense,3,002179.SZ,中航光电,1106.1047452999999
2023,robotics,1,300124.SZ,汇川技术,1847.64420535
