month,type,invested,cash,top,score
2021-01,annual,1236.6278100000002,280.99451780456525,,
2021-02,ordinary,0.0,1752.7954173101805,603986.SH,93.94179166822244
2021-03,ordinary,0.0,3248.1352400793457,300308.SZ,93.6221721075604
2021-04,ordinary,0.0,4746.4809966101075,603986.SH,93.47360317519163
2021-05,ordinary,2229.13373,4025.1634382562256,002281.SZ,93.9398857239559
2021-06,ordinary,742.3758700000001,4765.080983325805,601611.SH,93.93810055190058
2021-07,ordinary,0.0,6212.367064639892,002439.SZ,93.82905965671878
2021-08,ordinary,0.0,7637.526995822754,600276.SH,93.62983772811943
2021-09,ordinary,0.0,9063.10535161194,603986.SH,93.29772575205996
2021-10,ordinary,0.0,10459.19099538025,002747.SZ,94.46213410347593
2021-11,ordinary,0.0,11902.90265767273,002747.SZ,94.02457345850581
2021-12,ordinary,0.0,13262.386233493653,300124.SZ,93.5641668953063
2022-01,annual,2423.23012,13319.635275018702,,
2022-02,ordinary,0.0,14666.266563547144,300124.SZ,96.03979822827478
2022-03,ordinary,0.0,16039.805486810694,603259.SH,95.6217517854938
2022-04,ordinary,0.0,17463.20946515847,300124.SZ,97.1225358110953
2022-05,ordinary,0.0,18882.400015008934,300124.SZ,96.87737417594894
2022-06,ordinary,0.0,20319.53418554116,300124.SZ,95.83869928215822
2022-07,ordinary,0.0,21704.816892755516,300124.SZ,94.76948444767046
2022-08,ordinary,0.0,23129.452398431786,603259.SH,95.37220223063869
2022-09,ordinary,0.0,24535.53588689614,300124.SZ,95.77361926125207
2022-10,ordinary,0.0,25885.603979242333,300124.SZ,95.8591115512407
2022-11,ordinary,0.0,27288.169124734886,603259.SH,94.856481082068
2022-12,ordinary,0.0,28732.857826364525,603259.SH,94.99344850375081
2023-01,annual,1233.62118,28904.865661333395,,
2023-02,ordinary,0.0,30331.533351610495,603259.SH,93.07690369474899
2023-03,ordinary,0.0,31729.690519045187,002472.SZ,94.40969286050262
2023-04,ordinary,0.0,33128.66665429909,002472.SZ,96.204738934382
2023-05,ordinary,0.0,34514.91438455422,603259.SH,95.886580987647
2023-06,ordinary,0.0,35912.76141710122,002472.SZ,96.59195526491544
2023-07,ordinary,0.0,37360.868898104025,603259.SH,95.31773514903693
2023-08,ordinary,0.0,38775.34133500893,002472.SZ,94.40592537354293
2023-09,ordinary,2321.18065,37845.143408245014,002747.SZ,95.02963497560589
2023-10,ordinary,2852.4514599999998,36369.06342727944,002472.SZ,94.58677939799749
2023-11,ordinary,0.0,37732.72752983376,300124.SZ,92.3303150727506
2023-12,ordinary,0.0,39135.59437019631,002439.SZ,90.13751867046602
2024-01,annual,6125.1120200000005,39186.20476598519,,
2024-02,ordinary,0.0,40581.76426763314,300124.SZ,92.88938998947302
2024-03,ordinary,0.0,41964.565037439046,603259.SH,92.20839103080212
2024-04,ordinary,0.0,43351.96747655648,600760.SH,92.0250564293183
2024-05,ordinary,0.0,44757.12728376168,300124.SZ,92.17065879975192
2024-06,ordinary,0.0,46179.21991224068,300124.SZ,92.79448534428901
2024-07,ordinary,0.0,47629.87828130501,300124.SZ,94.11592850937498
2024-08,ordinary,0.0,49041.11604566353,300124.SZ,94.74386330247886
2024-09,ordinary,4327.2032,46162.92870145272,300124.SZ,94.97910304348179
2024-10,ordinary,0.0,47589.76047139596,688561.SH,83.62547369302641
2024-11,ordinary,0.0,48994.455219320764,600276.SH,88.06994955386938
2024-12,ordinary,0.0,50406.61795239877,300308.SZ,87.12214215030659
2025-01,annual,1330.6732,50431.86792821054,,
2025-02,ordinary,0.0,51778.61709088449,600276.SH,90.08972072718986
2025-03,ordinary,0.0,53137.64433354501,300308.SZ,91.2902188166182
2025-04,ordinary,0.0,54509.28568333749,300308.SZ,91.94353280841264
2025-05,ordinary,0.0,55917.85253972177,300394.SZ,92.16525724847247
2025-06,ordinary,0.0,57307.66224354867,300308.SZ,92.20727098684193
2025-07,ordinary,0.0,58722.03111142282,300308.SZ,88.12475060371598
2025-08,ordinary,0.0,60110.68610638742,603986.SH,84.164648457271
2025-09,ordinary,0.0,61513.21076840524,002179.SZ,81.23658947695426
2025-10,ordinary,0.0,62916.0203883088,002179.SZ,79.41040650133628
2025-11,ordinary,0.0,64313.50922078256,600276.SH,86.45474580319885
2025-12,ordinary,0.0,65704.06350583199,600276.SH,88.05244363099357
