month,type,invested,cash,top,score
2021-01,annual,1517.6223278045654,0.0,,
2021-02,ordinary,44.60002725774593,1427.2008722478693,000400.SZ,76.57930806189952
2021-03,ordinary,34.66895834159014,2887.8717366754445,300308.SZ,79.05040846373487
2021-04,ordinary,61.465509433640186,4324.751983772566,603986.SH,79.21819660744941
2021-05,ordinary,136.95627824766154,5695.611877171023,002281.SZ,80.21284302507675
2021-06,ordinary,198.71788390273315,6979.18740833787,601611.SH,81.25823156230302
2021-07,ordinary,222.342099718005,8204.131389933951,600276.SH,81.46163281055499
2021-08,ordinary,212.52018308649002,9416.771138030323,300454.SZ,81.76586137309926
2021-09,ordinary,201.21996089463642,10641.129532924871,600118.SH,81.12425833205738
2021-10,ordinary,298.0816111640504,11739.133565529131,002747.SZ,85.8068660835389
2021-11,ordinary,381.0469367448956,12801.798291076717,300124.SZ,84.32595845471651
2021-12,ordinary,302.9024890650243,13858.379377832614,300024.SZ,81.37149489940197
2022-01,annual,1978.5770397892666,13858.379377832614,,
2022-02,ordinary,216.78194628214692,14988.22872007891,603259.SH,80.44934407046456
2022-03,ordinary,204.51314597016088,16157.2544973723,300124.SZ,80.29359497576846
2022-04,ordinary,183.51447677106637,17397.14399894901,603986.SH,80.07226992019208
2022-05,ordinary,297.6801030149804,18518.654445784494,002472.SZ,80.02303152794939
2022-06,ordinary,123.03270498422921,19832.75591133249,300223.SZ,78.09552654984243
2022-07,ordinary,62.71106215025374,21155.32755639659,300502.SZ,76.7879758626739
2022-08,ordinary,99.24097729034258,22480.72208478252,601985.SH,79.55059959308319
2022-09,ordinary,134.59722209615882,23752.208351150715,601611.SH,77.33421269981491
2022-10,ordinary,143.68454098337295,24958.591902513534,002179.SZ,78.53660838135926
2022-11,ordinary,144.17617215395165,26216.980875852136,600879.SH,75.59834331263218
2022-12,ordinary,155.97866842254604,27505.690909059227,002281.SZ,75.22721606811506
2023-01,annual,1592.968914970237,27505.690909059227,,
2023-02,ordinary,61.45171572664043,28870.906883609685,603259.SH,78.269436430535
2023-03,ordinary,66.4421266549544,30202.621924389423,300223.SZ,76.68922124715114
2023-04,ordinary,57.60493927481326,31543.993120368516,600760.SH,75.69405608803567
2023-05,ordinary,100.05463193186279,32830.18621869178,300124.SZ,79.39280317403089
2023-06,ordinary,84.867383405216,34143.16586783356,600893.SH,72.09105195973598
2023-07,ordinary,0.0,35591.27334883637,,
2023-08,ordinary,114.06131562378766,36891.684470117485,002747.SZ,71.40840765503397
2023-09,ordinary,96.43068016988315,38186.236513183685,688561.SH,73.08787122899056
2023-10,ordinary,103.25942857782354,39459.348563640284,000400.SZ,72.07069062659801
2023-11,ordinary,84.34382488892118,40738.66884130568,601611.SH,72.2073917275386
2023-12,ordinary,55.564184440679185,42085.971497227554,603259.SH,72.31988146540125
2024-01,annual,2146.7409777304124,42085.971497227554,,
2024-02,ordinary,253.73809120871817,43227.792907666786,002472.SZ,81.37396942551848
2024-03,ordinary,75.10623450575156,44535.48744296694,603259.SH,77.56849164106939
2024-04,ordinary,59.43711739677582,45863.4527646876,600760.SH,77.488453595977
2024-05,ordinary,106.36623626153687,47162.246335631266,300124.SZ,77.71477466660785
2024-06,ordinary,82.97577090267475,48501.363193207595,688235.SH,75.95617136616117
2024-07,ordinary,85.71474326638943,49866.306819005535,300394.SZ,72.10048805811749
2024-08,ordinary,0.0,51277.544583364055,,
2024-09,ordinary,85.18497425113026,52641.37546490211,300308.SZ,74.10441725194754
2024-10,ordinary,0.0,54068.207234845344,,
2024-11,ordinary,0.0,55472.90198277015,,
2024-12,ordinary,0.0,56885.06471584815,,
2025-01,annual,1996.4813344124434,56885.06471584815,,
2025-02,ordinary,76.19478131261201,58155.61909720949,600276.SH,75.1310763373483
2025-03,ordinary,34.455123090305506,59480.191216779705,300308.SZ,76.41920347181485
2025-04,ordinary,34.80002346133773,60817.03254311085,300502.SZ,73.95056585443166
2025-05,ordinary,68.65088316163428,62156.94851633349,600406.SH,71.71477782810831
2025-06,ordinary,77.53502310844794,63469.22319705195,603986.SH,71.14175398890889
2025-07,ordinary,0.0,64883.592064926095,,
2025-08,ordinary,0.0,66272.2470598907,,
2025-09,ordinary,0.0,67674.77172190852,,
2025-10,ordinary,0.0,69077.58134181208,,
2025-11,ordinary,0.0,70475.07017428584,,
2025-12,ordinary,75.40059274286477,71790.22386659241,603259.SH,71.02097847570533
