month,type,invested,cash,top,score
2021-01,annual,0.0,1517.6223278045654,,
2021-02,ordinary,0.0,2989.4232273101807,603986.SH,93.94179166822244
2021-03,ordinary,0.0,4484.763050079346,300308.SZ,93.6221721075604
2021-04,ordinary,0.0,5983.108806610107,603986.SH,93.47360317519163
2021-05,ordinary,276.13820999999996,7214.7867682562255,002281.SZ,93.9398857239559
2021-06,ordinary,0.0,8697.080183325805,601611.SH,93.93810055190058
2021-07,ordinary,0.0,10144.366264639892,601611.SH,94.18224753028738
2021-08,ordinary,0.0,11569.526195822753,601611.SH,94.24629006203082
2021-09,ordinary,0.0,12995.104551611937,603986.SH,93.29772575205996
2021-10,ordinary,0.0,14391.190195380248,002747.SZ,94.46213410347593
2021-11,ordinary,1235.62475,14599.27710767273,002747.SZ,94.02457345850581
2021-12,ordinary,0.0,15958.760683493652,300124.SZ,93.5641668953063
2022-01,annual,0.0,18439.237756291634,,
2022-02,ordinary,725.3672,19060.501844820075,300124.SZ,96.03979822827478
2022-03,ordinary,0.0,20434.040768083625,603259.SH,95.6217517854938
2022-04,ordinary,1731.87516,20125.569586431404,300124.SZ,97.1225358110953
2022-05,ordinary,0.0,21544.760136281868,300124.SZ,96.87737417594894
2022-06,ordinary,0.0,22981.894306814094,300124.SZ,95.83869928215822
2022-07,ordinary,0.0,24367.17701402845,300124.SZ,94.76948444767046
2022-08,ordinary,0.0,25791.81251970472,603259.SH,95.37220223063869
2022-09,ordinary,286.14331,26911.752698169075,300124.SZ,95.77361926125207
2022-10,ordinary,2894.47033,25367.350460515267,300124.SZ,95.8591115512407
2022-11,ordinary,0.0,26769.91560600782,603259.SH,94.856481082068
2022-12,ordinary,0.0,28214.60430763746,603259.SH,94.99344850375081
2023-01,annual,606.30651,29013.926812606333,,
2023-02,ordinary,0.0,30440.594502883432,603259.SH,93.07690369474899
2023-03,ordinary,0.0,31838.751670318125,002472.SZ,94.40969286050262
2023-04,ordinary,0.0,33237.72780557203,002472.SZ,96.204738934382
2023-05,ordinary,2336.1883,32287.787235827156,603259.SH,95.886580987647
2023-06,ordinary,858.4350299999999,32827.19923837415,603259.SH,95.57862598792354
2023-07,ordinary,0.0,34275.30671937696,603259.SH,95.31773514903693
2023-08,ordinary,0.0,35689.77915628187,603259.SH,94.07099572948133
2023-09,ordinary,0.0,37080.76187951795,600089.SH,92.48958583635397
2023-10,ordinary,0.0,38457.133358552375,002179.SZ,91.40999090739118
2023-11,ordinary,2024.0240800000001,37796.773381106694,300124.SZ,92.3303150727506
2023-12,ordinary,0.0,39199.64022146924,002439.SZ,90.13751867046602
2024-01,annual,774.39219,41713.42452158518,,
2024-02,ordinary,1866.94911,41242.034913233125,300124.SZ,92.88938998947302
2024-03,ordinary,0.0,42624.83568303903,603259.SH,92.20839103080212
2024-04,ordinary,0.0,44012.238122156465,600760.SH,92.0250564293183
2024-05,ordinary,0.0,45417.397929361665,300124.SZ,92.17065879975192
2024-06,ordinary,0.0,46839.49055784067,300124.SZ,92.79448534428901
2024-07,ordinary,0.0,48290.148926905,300124.SZ,94.11592850937498
2024-08,ordinary,0.0,49701.38669126352,300124.SZ,94.74386330247886
2024-09,ordinary,2163.09752,48987.3050270527,300124.SZ,94.97910304348179
2024-10,ordinary,0.0,50414.13679699594,300124.SZ,88.30811934129522
2024-11,ordinary,0.0,51818.831544920744,300124.SZ,91.11603162508027
2024-12,ordinary,0.0,53230.99427799875,300124.SZ,89.46226899891936
2025-01,annual,1045.5303999999999,53541.38705381051,,
2025-02,ordinary,2104.0699799999998,52784.06623648446,600276.SH,90.08972072718986
2025-03,ordinary,0.0,54143.09347914498,300308.SZ,91.2902188166182
2025-04,ordinary,3990.0287799999996,51524.70604893746,300308.SZ,91.94353280841264
2025-05,ordinary,3840.95279,49092.32011532174,300394.SZ,92.16525724847247
2025-06,ordinary,0.0,50482.12981914864,300308.SZ,92.20727098684193
2025-07,ordinary,0.0,51896.49868702279,300308.SZ,88.12475060371598
2025-08,ordinary,0.0,53285.15368198739,603986.SH,84.164648457271
2025-09,ordinary,0.0,54687.67834400521,002179.SZ,81.23658947695426
2025-10,ordinary,0.0,56090.487963908774,002179.SZ,79.41040650133628
2025-11,ordinary,0.0,57487.97679638253,600276.SH,86.45474580319885
2025-12,ordinary,0.0,58878.53108143197,600276.SH,88.05244363099357
