month,type,invested,cash,top,score
2021-01,annual,0.0,1517.6223278045654,,
2021-02,ordinary,0.0,2989.4232273101807,603986.SH,93.94179166822244
2021-03,ordinary,0.0,4484.763050079346,300308.SZ,93.6221721075604
2021-04,ordinary,0.0,5983.108806610107,603986.SH,93.47360317519163
2021-05,ordinary,0.0,7490.924978256226,002281.SZ,93.9398857239559
2021-06,ordinary,0.0,8973.218393325806,601611.SH,93.93810055190058
2021-07,ordinary,0.0,10420.504474639893,601611.SH,94.18224753028738
2021-08,ordinary,0.0,11845.664405822754,601611.SH,94.24629006203082
2021-09,ordinary,0.0,13271.242761611938,603986.SH,93.29772575205996
2021-10,ordinary,0.0,14667.328405380249,002747.SZ,94.46213410347593
2021-11,ordinary,0.0,16111.04006767273,002747.SZ,94.02457345850581
2021-12,ordinary,0.0,17470.523643493652,300124.SZ,93.5641668953063
2022-01,annual,640.3213000000001,18200.361397296143,,
2022-02,ordinary,0.0,19546.992685824585,300124.SZ,96.03979822827478
2022-03,ordinary,0.0,20920.531609088135,603259.SH,95.6217517854938
2022-04,ordinary,0.0,22343.935587435913,300124.SZ,97.1225358110953
2022-05,ordinary,0.0,23763.126137286377,300124.SZ,96.87737417594894
2022-06,ordinary,0.0,25200.260307818604,300124.SZ,95.83869928215822
2022-07,ordinary,0.0,26585.54301503296,300124.SZ,94.76948444767046
2022-08,ordinary,0.0,28010.17852070923,603259.SH,95.37220223063869
2022-09,ordinary,0.0,29416.262009173584,300124.SZ,95.77361926125207
2022-10,ordinary,0.0,30766.330101519776,300124.SZ,95.8591115512407
2022-11,ordinary,0.0,32168.89524701233,603259.SH,94.856481082068
2022-12,ordinary,0.0,33613.58394864197,603259.SH,94.99344850375081
2023-01,annual,1347.68187,33671.53109361084,,
2023-02,ordinary,0.0,35098.19878388794,603259.SH,93.07690369474899
2023-03,ordinary,0.0,36496.355951322636,002472.SZ,94.40969286050262
2023-04,ordinary,0.0,37895.33208657654,002472.SZ,96.204738934382
2023-05,ordinary,0.0,39281.57981683167,603259.SH,95.886580987647
2023-06,ordinary,0.0,40679.426849378666,002472.SZ,96.59195526491544
2023-07,ordinary,0.0,42127.53433038147,603259.SH,95.31773514903693
2023-08,ordinary,0.0,43542.00676728638,002472.SZ,94.40592537354293
2023-09,ordinary,2321.18065,42611.80884052246,002747.SZ,95.02963497560589
2023-10,ordinary,2852.4514599999998,41135.72885955689,002472.SZ,94.58677939799749
2023-11,ordinary,0.0,42499.39296211121,300124.SZ,92.3303150727506
2023-12,ordinary,0.0,43902.25980247376,002439.SZ,90.13751867046602
2024-01,annual,3156.59885,44031.804654213694,,
2024-02,ordinary,0.0,45427.364155861644,300124.SZ,92.88938998947302
2024-03,ordinary,0.0,46810.16492566755,603259.SH,92.20839103080212
2024-04,ordinary,0.0,48197.56736478498,600760.SH,92.0250564293183
2024-05,ordinary,0.0,49602.727171990184,300124.SZ,92.17065879975192
2024-06,ordinary,0.0,51024.81980046919,300124.SZ,92.79448534428901
2024-07,ordinary,0.0,52475.47816953352,300124.SZ,94.11592850937498
2024-08,ordinary,0.0,53886.71593389204,300124.SZ,94.74386330247886
2024-09,ordinary,0.0,55335.731789681224,300124.SZ,94.97910304348179
2024-10,ordinary,0.0,56762.56355962446,300124.SZ,88.30811934129522
2024-11,ordinary,0.0,58167.258307549266,300124.SZ,91.11603162508027
2024-12,ordinary,0.0,59579.42104062727,300124.SZ,89.46226899891936
2025-01,annual,1320.6681,59614.676116439034,,
2025-02,ordinary,0.0,60961.425279112984,600276.SH,90.08972072718986
2025-03,ordinary,0.0,62320.452521773506,300308.SZ,91.2902188166182
2025-04,ordinary,0.0,63692.09387156599,300308.SZ,91.94353280841264
2025-05,ordinary,0.0,65100.660727950264,300394.SZ,92.16525724847247
2025-06,ordinary,0.0,66490.47043177717,300308.SZ,92.20727098684193
2025-07,ordinary,0.0,67904.83929965131,300308.SZ,88.12475060371598
2025-08,ordinary,0.0,69293.49429461591,600406.SH,86.15705997734493
2025-09,ordinary,2189.11333,68506.90562663373,600406.SH,88.37654180439314
2025-10,ordinary,0.0,69909.7152465373,002179.SZ,79.41040650133628
2025-11,ordinary,0.0,71307.20407901105,600276.SH,86.45474580319885
2025-12,ordinary,0.0,72697.75836406049,600276.SH,88.05244363099357
