month,type,invested,cash,top,score
2021-01,annual,1358.68238,158.93994780456546,,
2021-02,ordinary,0.0,1630.7408473101807,603986.SH,93.94179166822244
2021-03,ordinary,0.0,3126.0806700793455,300308.SZ,93.6221721075604
2021-04,ordinary,0.0,4624.426426610107,603986.SH,93.47360317519163
2021-05,ordinary,2229.13373,3903.1088682562254,002281.SZ,93.9398857239559
2021-06,ordinary,2227.1276100000005,3158.2746733258055,601611.SH,93.93810055190058
2021-07,ordinary,0.0,4605.560754639892,002439.SZ,93.82905965671878
2021-08,ordinary,0.0,6030.720685822754,600276.SH,93.62983772811943
2021-09,ordinary,0.0,7456.299041611938,603986.SH,93.29772575205996
2021-10,ordinary,0.0,8852.38468538025,002747.SZ,94.46213410347593
2021-11,ordinary,0.0,10296.09634767273,002747.SZ,94.02457345850581
2021-12,ordinary,0.0,11655.579923493653,300124.SZ,93.5641668953063
2022-01,annual,1145.5788499999999,11880.160127296143,,
2022-02,ordinary,0.0,13226.791415824586,300124.SZ,96.03979822827478
2022-03,ordinary,0.0,14600.330339088136,603259.SH,95.6217517854938
2022-04,ordinary,0.0,16023.734317435914,300124.SZ,97.1225358110953
2022-05,ordinary,0.0,17442.924867286376,300124.SZ,96.87737417594894
2022-06,ordinary,0.0,18880.059037818603,300124.SZ,95.83869928215822
2022-07,ordinary,0.0,20265.341745032958,300124.SZ,94.76948444767046
2022-08,ordinary,0.0,21689.977250709228,603259.SH,95.37220223063869
2022-09,ordinary,0.0,23096.060739173583,300124.SZ,95.77361926125207
2022-10,ordinary,0.0,24446.128831519774,300124.SZ,95.8591115512407
2022-11,ordinary,0.0,25848.693977012328,603259.SH,94.856481082068
2022-12,ordinary,0.0,27293.382678641967,603259.SH,94.99344850375081
2023-01,annual,1347.68187,27351.32982361084,,
2023-02,ordinary,0.0,28777.997513887938,603259.SH,93.07690369474899
2023-03,ordinary,0.0,30176.15468132263,002472.SZ,94.40969286050262
2023-04,ordinary,0.0,31575.130816576537,002472.SZ,96.204738934382
2023-05,ordinary,0.0,32961.378546831664,603259.SH,95.886580987647
2023-06,ordinary,0.0,34359.22557937866,002472.SZ,96.59195526491544
2023-07,ordinary,0.0,35807.33306038147,603259.SH,95.31773514903693
2023-08,ordinary,0.0,37221.805497286376,002472.SZ,94.40592537354293
2023-09,ordinary,2321.18065,36291.60757052246,002747.SZ,95.02963497560589
2023-10,ordinary,2852.4514599999998,34815.527589556885,002472.SZ,94.58677939799749
2023-11,ordinary,0.0,36179.191692111206,300124.SZ,92.3303150727506
2023-12,ordinary,0.0,37582.058532473755,002439.SZ,90.13751867046602
2024-01,annual,5918.0039,37839.77704826263,,
2024-02,ordinary,0.0,39235.33654991058,300124.SZ,92.88938998947302
2024-03,ordinary,0.0,40618.13731971649,603259.SH,92.20839103080212
2024-04,ordinary,0.0,42005.53975883392,600760.SH,92.0250564293183
2024-05,ordinary,0.0,43410.69956603912,300124.SZ,92.17065879975192
2024-06,ordinary,0.0,44832.79219451812,300124.SZ,92.79448534428901
2024-07,ordinary,0.0,46283.45056358245,300124.SZ,94.11592850937498
2024-08,ordinary,0.0,47694.688327940974,300124.SZ,94.74386330247886
2024-09,ordinary,4327.2032,44816.50098373016,300124.SZ,94.97910304348179
2024-10,ordinary,0.0,46243.3327536734,688561.SH,83.62547369302641
2024-11,ordinary,0.0,47648.027501598204,600276.SH,88.06994955386938
2024-12,ordinary,0.0,49060.19023467621,300308.SZ,87.12214215030659
2025-01,annual,1320.6681,49095.44531048797,,
2025-02,ordinary,0.0,50442.19447316192,600276.SH,90.08972072718986
2025-03,ordinary,0.0,51801.221715822445,300308.SZ,91.2902188166182
2025-04,ordinary,0.0,53172.863065614925,300308.SZ,91.94353280841264
2025-05,ordinary,0.0,54581.4299219992,300394.SZ,92.16525724847247
2025-06,ordinary,0.0,55971.23962582611,300308.SZ,92.20727098684193
2025-07,ordinary,0.0,57385.60849370025,300308.SZ,88.12475060371598
2025-08,ordinary,0.0,58774.26348866485,600406.SH,86.15705997734493
2025-09,ordinary,2189.11333,57987.674820682674,600406.SH,88.37654180439314
2025-10,ordinary,0.0,59390.48444058624,002179.SZ,79.41040650133628
2025-11,ordinary,0.0,60787.97327305999,600276.SH,86.45474580319885
2025-12,ordinary,0.0,62178.52755810943,600276.SH,88.05244363099357
