month,type,invested,cash,top,score
2021-01,annual,1517.6223278045654,0.0,,
2021-02,ordinary,1471.8008995056152,0.0,603986.SH,86.32683279953413
2021-03,ordinary,1495.339822769165,0.0,300308.SZ,88.54624397872297
2021-04,ordinary,1498.3457565307617,0.0,002281.SZ,86.77021369867084
2021-05,ordinary,1507.8161716461182,0.0,002439.SZ,90.6235850141098
2021-06,ordinary,1482.2934150695799,2.2737367544323206e-13,601611.SH,91.4011808070295
2021-07,ordinary,1447.2860813140871,0.0,600276.SH,90.69330082961487
2021-08,ordinary,1425.1599311828613,0.0,300454.SZ,90.1151024323052
2021-09,ordinary,1425.5783557891846,0.0,600118.SH,88.78125299050518
2021-10,ordinary,1396.0856437683105,0.0,002747.SZ,92.91009038509037
2021-11,ordinary,1443.7116622924805,0.0,300124.SZ,90.68718073039486
2021-12,ordinary,1359.4835758209229,0.0,300024.SZ,86.94749936601406
2022-01,annual,3749.754496735104,8.526512829121202e-13,,
2022-02,ordinary,1346.6312885284433,0.0,603259.SH,87.82674983522398
2022-03,ordinary,1373.5389232635498,0.0,300124.SZ,83.79524876396228
2022-04,ordinary,1423.4039783477783,0.0,002472.SZ,84.54290435132899
2022-05,ordinary,1419.1905498504639,0.0,600760.SH,84.81024637762043
2022-06,ordinary,1437.1341705322266,0.0,600893.SH,81.42265605408622
2022-07,ordinary,1385.2827072143555,0.0,601985.SH,83.26061109447271
2022-08,ordinary,1424.6355056762695,0.0,300223.SZ,80.61295438618022
2022-09,ordinary,1406.0834884643555,0.0,002179.SZ,83.65839239414387
2022-10,ordinary,1350.0680923461914,0.0,600879.SH,81.3590334120097
2022-11,ordinary,1402.5651454925537,0.0,603259.SH,79.856481082068
2022-12,ordinary,1444.6887016296387,0.0,688235.SH,82.08414876808607
2023-01,annual,2003.4121198178589,0.0,,
2023-02,ordinary,1426.6676902770994,2.2737367544323206e-13,600089.SH,78.70132405977878
2023-03,ordinary,1398.1571674346924,2.2737367544323206e-13,002472.SZ,79.40969286050262
2023-04,ordinary,1398.9761352539067,-2.2737367544323206e-13,002472.SZ,81.204738934382
2023-05,ordinary,1386.2477302551267,0.0,603259.SH,80.886580987647
2023-06,ordinary,1397.847032546997,0.0,002472.SZ,81.59195526491544
2023-07,ordinary,1448.1074810028076,0.0,688235.SH,81.27395156992543
2023-08,ordinary,1414.4724369049072,0.0,600760.SH,79.54640377763577
2023-09,ordinary,1390.982723236084,0.0,002747.SZ,82.58144697525525
2023-10,ordinary,1376.371479034424,-2.2737367544323206e-13,002747.SZ,80.7780229705246
2023-11,ordinary,1363.6641025543213,-2.2737367544323206e-13,002439.SZ,81.7630289937825
2023-12,ordinary,1402.8668403625486,0.0,002747.SZ,81.19380565786955
2024-01,annual,7461.757837656868,0.0,,
2024-02,ordinary,1395.5595016479492,0.0,002472.SZ,81.37396942551848
2024-03,ordinary,1382.8007698059082,0.0,002472.SZ,81.04071735084975
2024-04,ordinary,1387.4024391174316,0.0,002472.SZ,81.4770193608781
2024-05,ordinary,1405.1598072052002,0.0,002472.SZ,81.23005328191547
2024-06,ordinary,1422.092628479004,0.0,002472.SZ,81.57847909632221
2024-07,ordinary,1450.658369064331,0.0,002472.SZ,81.82309863540294
2024-08,ordinary,1411.2377643585205,0.0,002472.SZ,81.02584608770252
2024-09,ordinary,1449.0158557891846,0.0,002472.SZ,81.87863697458852
2024-10,ordinary,1426.8317699432373,0.0,002472.SZ,77.2117562821976
2024-11,ordinary,1404.6947479248047,0.0,600276.SH,79.91490548739952
2024-12,ordinary,1412.162733078003,0.0,300308.SZ,77.57584167581557
2025-01,annual,2925.134379533849,0.0,,
2025-02,ordinary,1346.7491626739502,0.0,600406.SH,76.91651481519868
2025-03,ordinary,1359.0272426605225,0.0,300394.SZ,78.13892189234168
2025-04,ordinary,1371.6413497924805,0.0,300502.SZ,79.05756205534081
2025-05,ordinary,1408.5668563842773,0.0,300762.SZ,79.73133091536003
2025-06,ordinary,1389.8097038269043,0.0,000021.SZ,77.43880712276075
2025-07,ordinary,1414.3688678741455,0.0,300454.SZ,74.87119521022927
2025-08,ordinary,1388.6549949645996,0.0,603986.SH,74.94226545791787
2025-09,ordinary,1402.5246620178225,-2.2737367544323206e-13,600406.SH,73.37654180439313
2025-10,ordinary,1402.8096199035645,-2.2737367544323206e-13,600406.SH,70.7542611662823
2025-11,ordinary,1397.4888324737549,-2.2737367544323206e-13,600276.SH,71.45474580319885
2025-12,ordinary,1390.5542850494385,-2.2737367544323206e-13,600276.SH,73.05244363099357
